candidate_id,source_event_id,target_event_id,source_title,target_title,semantic_score,shared_day_count,full_period_signed_corr,peak_local_signed_corr,peak_window_start_utc,peak_window_end_utc,high_corr_window_count,high_corr_window_fraction,peak_lag_days,direction_hint,leading_event_id,lagging_event_id,calendar_ec_hybrid_score
p2-16136-to-12641,16136,12641,TikTok banned in 2025?,TikTok banned in the US before May 2025?,1.0,21,0.9932257348485155,0.9917575217533809,2025-01-04 00:00:00+00:00,2025-01-10 00:00:00+00:00,14,0.9333333333333333,0.0,synchronous,,,0.9942302652273667
p2-11901-to-11022,11901,11022,Israel x Hamas ceasefire in 2024?,Next Israel x Hamas ceasefire in…?,0.9586873011357183,147,-0.9477020954970301,-0.9969959532617928,2024-12-18 00:00:00+00:00,2024-12-24 00:00:00+00:00,80,0.5673758865248227,0.0,synchronous,,,0.9855033576239705
p2-902323-to-10090,902323,10090,Will Man City win the Premier League?,Premier League Winner,0.9412360155527412,57,0.6577261829836965,0.978529934710354,2024-04-23 00:00:00+00:00,2024-04-29 00:00:00+00:00,11,0.34375,-1.0,target_leads_source,10090,902323,0.9673417589630701
p2-12546-to-12523,12546,12523,Caroline Ellison prison time?,Caroline Ellison sentenced to prison?,0.9273772111139442,13,-0.9132813924757174,-0.9825738675745498,2024-09-18 00:00:00+00:00,2024-09-24 00:00:00+00:00,3,0.42857142857142855,0.0,synchronous,,,0.966014870636368
p2-12315-to-12313,12315,12313,Most gold medals at 2024 Paralympics?,Most medals at 2024 Paralympics?,0.8686634396178576,10,0.9913474802244318,1.0,2024-09-01 00:00:00+00:00,2024-09-07 00:00:00+00:00,3,1.0,0.0,synchronous,,,0.9605990318853572
p2-19583-to-19071,19583,19071,What continent will next Pope be from?,New Pope in 2025?,0.8683212319758286,74,-0.9960921632864896,-0.9999399296122353,2025-04-20 00:00:00+00:00,2025-04-26 00:00:00+00:00,37,0.5441176470588235,0.0,synchronous,,,0.9604543203213133
p2-16092-to-12862,16092,12862,US recession in 2025?,U.S. recession before May 2025?,1.0,114,-0.8036963911525457,-0.9361376018650618,2025-03-25 00:00:00+00:00,2025-03-31 00:00:00+00:00,23,0.21296296296296297,3.0,source_leads_target,16092,12862,0.9552963213055432
p2-28660-to-26878,28660,26878,NYC Mayoral Dem Primary Mamdani MOV,NYC Mayoral Dem Primary MOV,0.8797897305609921,28,-0.6352631900989569,-0.9732791975055466,2025-06-29 00:00:00+00:00,2025-07-05 00:00:00+00:00,5,0.22727272727272727,0.0,synchronous,,,0.9452323574221801
p2-12445-to-12441,12445,12441,Women's Chess Olympiad 2024 Winner,Chess Olympiad 2024 Winner,0.7786464496651706,16,0.8925407666378685,0.9966114790077307,2024-09-09 00:00:00+00:00,2024-09-15 00:00:00+00:00,7,0.7,3.0,source_leads_target,12445,12441,0.9312219702049627
p2-22509-to-22508,22509,22508,How high will 10-year Treasury yield go in 2025?,How high will 10-year Treasury yield go in April?,0.7846179925824541,21,0.9098551347511763,0.9933538723940675,2025-04-10 00:00:00+00:00,2025-04-16 00:00:00+00:00,6,0.4,0.0,synchronous,,,0.9307331084505834
p2-17405-to-15635,17405,15635,Israel and Saudi Arabia normalize relations in 2025?,Israel and Saudi Arabia normalize relations before April?,0.7961977402850893,64,0.9345902942468679,0.9822716246158331,2025-02-04 00:00:00+00:00,2025-02-10 00:00:00+00:00,19,0.3275862068965517,0.0,synchronous,,,0.9264494593166098
p2-18566-to-15625,18566,15625,AfD % of vote in German Election? [2% Brackets],AfD % of vote in German Election?,0.7415418760245926,29,0.9969686099160853,0.9997851345913562,2025-02-21 00:00:00+00:00,2025-02-27 00:00:00+00:00,11,0.4782608695652174,0.0,synchronous,,,0.9223121570213271
p2-12656-to-10558,12656,10558,# of named storms during Atlantic Hurricane Season? ,How many named storms during Atlantic Hurricane Season?,0.8226491422924428,33,-0.9329033429178651,-0.9649068978287855,2024-09-30 00:00:00+00:00,2024-10-06 00:00:00+00:00,15,0.5555555555555556,0.0,synchronous,,,0.9222295711678826
p2-21317-to-16242,21317,16242,Yoon out as president of South Korea before May?,Yoon out as president of South Korea in 2025?,0.7621553060910784,16,0.9749531654261293,0.989164075242713,2025-03-29 00:00:00+00:00,2025-04-04 00:00:00+00:00,7,0.7,0.0,synchronous,,,0.9210614444972226
p2-27199-to-17105,27199,17105,Will Iran close the Strait of Hormuz before July?,Will Iran close the Strait of Hormuz in 2025?,0.7659462755284469,16,0.9399866205505931,0.9843208757716567,2025-06-22 00:00:00+00:00,2025-06-28 00:00:00+00:00,8,0.8,0.0,synchronous,,,0.9188084956986937
p2-22976-to-17028,22976,17028,TikTok sale announced by...?,TikTok sale announced before May?,0.8589034889207207,14,0.9320633389238786,0.9441943936353346,2025-04-18 00:00:00+00:00,2025-04-24 00:00:00+00:00,8,1.0,-2.0,target_leads_source,17028,22976,0.9186071222209504
p2-15376-to-15318,15376,15318,When will Luigi Mangione be extradited to New York?,Luigi Mangione extradited to New York before 2025?,0.7793404878901418,9,0.9846973575586269,0.9778402944118281,2024-12-12 00:00:00+00:00,2024-12-18 00:00:00+00:00,3,1.0,0.0,synchronous,,,0.9182903524553222
p2-903214-to-5828,903214,5828,Republican Nominee 2024,[Single Markets] Republican Nominee 2024,0.7237055298554027,178,0.8582299877707436,1.0000000000000002,2024-02-18 00:00:00+00:00,2024-02-24 00:00:00+00:00,25,0.1773049645390071,-2.0,target_leads_source,5828,903214,0.9171116589566208
p2-24367-to-21596,24367,21596,Trump ends taxes on tips in 2025?,Trump ends taxes on tips before August?,0.7449912823600995,54,0.7950618116029748,0.9845040690393296,2025-06-06 00:00:00+00:00,2025-06-12 00:00:00+00:00,22,0.4583333333333333,0.0,synchronous,,,0.9126502330355605
p2-23700-to-22212,23700,22212,US GDP growth in Q2 2025?,Negative GDP growth in Q2 2025?,0.7243929016403978,92,-0.9129881080612542,-0.9930935594463218,2025-05-01 00:00:00+00:00,2025-05-07 00:00:00+00:00,23,0.26744186046511625,3.0,source_leads_target,23700,22212,0.9124833621045446
p2-16994-to-14400,16994,14400,Elon Musk out as Head of DOGE in 2025?,Elon Musk out as Head of DOGE before July?,0.7143380401374007,29,0.9819151984772748,0.995098241705515,2025-02-12 00:00:00+00:00,2025-02-18 00:00:00+00:00,8,0.34782608695652173,0.0,synchronous,,,0.9108701812350807
p2-12037-to-12034,12037,12034,Trump fires campaign manager? ,Trump fires campaign manager in August? ,0.8026403364402837,19,0.9275731224959199,0.9515616584448991,2024-08-26 00:00:00+00:00,2024-09-01 00:00:00+00:00,12,0.9230769230769231,2.0,source_leads_target,12037,12034,0.9068852618435144
p2-17022-to-15900,17022,15900,Bitcoin all time high by March 31?,Ethereum all time high by March 31?,0.7238637940335806,71,0.9229050301936216,0.9837718019463829,2025-02-23 00:00:00+00:00,2025-03-01 00:00:00+00:00,21,0.3230769230769231,-3.0,target_leads_source,15900,17022,0.9057993995725422
